Code;Bezeichnung;Leistung_Einheit;Kosten_CHF_h;Treibstoff_CHF_h;Flaechenleistung_ha_h
5136;Striegel + pneumatische Sämaschine, 6 m;260 a/h;80.0;0.0;2.6
5137;Säwalze, 3 m;110 a/h;28.0;0.0;1.1
5138;Mäusevergasungsapparat, Benzin, 2 kW (3 PS);2 kW;14.5;8.51;15.0
5140;Mulchgeräte;;0.0;0.0;1.0
5141;Schlegelmulcher, Front-/Heckanbau, 1.75−2 m;52 a/h;14.0;0.0;0.52
5142;Schlegelmulcher, Front-/Heckanbau, 2.5 m;87 a/h;32.0;0.0;0.87
5143;Schlegelmulcher, Front-/Heckanbau, 3 m;102 a/h;35.0;0.0;1.02
5144;Schlegelmulcher, Front-/Heckanbau, bis 3.5 m;115 a/h;49.0;0.0;1.15
5145;Seitenmulcher mit Schwenkarm, 1.55 m;;25.0;0.0;40.0
5146;Seitenmulcher mit Schwenkarm, 2 m ;;28.0;0.0;1.0
5147;Böschungsmäher mit Ausleger (3−5 m);;40.0;0.0;1.0
5148;Böschungsmäher mit Ausleger (5−7 m);;33.0;0.0;1.0
5150;Pflanzenschutz ;;0.0;0.0;20.0
5151;Körnerstreuer, 100−110 l;200 a/h;36.0;0.0;2.0
5153;Anbaufeldspritze, 12 m Balken, 600 l Fass;253 a/h;150.0;0.0;2.53
5154;Anbaufeldspritze, 15 m Balken, 800 l Fass;358 a/h;105.0;0.0;3.58
5156;Anbaufeldspritze, 21 m Balken, 1000 l Fass;402 a/h;90.0;0.0;4.02
5157;Anhängefeldspritze, 18 m Balken, 2000 l Fass;323 a/h;180.0;0.0;3.23
5158;Anhängefeldspritze, 24 m Balken, 2500 l Fass;412 a/h;155.0;0.0;4.12
5160;Feldspritze, selbstfahrend, 21 m Balken, 3000 l Tank;700 a/h;1050.0;20.59;7.0
5161;Präzisions-Feldspritze, kameragesteuert, 6 m, 700 l Fronttank;300 a/h;260.0;0.0;3.0
6000;Düngerstreuer (Mineraldünger);;0.0;0.0;15.0
6001;Einkasten-Düngerstreuer, 2.5 m;;0.0;0.0;15.0
6002;Reihendüngerstreuer zu Hackgerät, 4−8-reihig;80 a/h;34.0;0.0;0.8
6003;Schleuderstreuer, bis 500 l;100 a/h;10.5;0.0;1.0
6004;Schleuderstreuer, 500−1000 l;200 a/h;20.0;0.0;2.0
6005;Schleuderstreuer, > 1000 l, mit Bordcomputer;300 a/h;59.0;0.0;3.0
6006;Reihenstreugerät zu Schleuderstreuer;;0.0;0.0;1.0
6020;Miststreuer ;;0.0;0.0;10.0
6021;Aufbau-Seitenstreuer zu Transporter, 2.5 m3;2.8 Fu/h;91.0;0.0;20.0
6022;Aufbau-Seitenstreuer zu Transporter, 3.5 m3;2.4 Fu/h;98.0;0.0;20.0
6023;Aufbau-Seitenstreuer zu Transporter, 4.5 m3;2.3 Fu/h;90.0;0.0;20.0
6024;Miststreuer mit Seitenstreuwerk, um 5 m3;2.1 Fu/h;87.0;0.0;20.0
6025;Miststreuer mit Seitenstreuwerk, um 7 m3;1.7 Fu/h;73.0;0.0;1.0
6026;Miststreuer, um 8 m3;1.6 Fu/h;53.0;0.0;1.0
6027;Miststreuer, um 10 m3;1.4 Fu/h;47.0;0.0;1.0
6028;Miststreuer, um 12 m3;1.3 Fu/h;43.0;0.0;8.0
6029;Universalstreuer, um 14 m3;1.1 Fu/h;33.0;0.0;8.0
6030;Universalstreuer, um 16 m3;1.0 Fu/h;34.0;0.0;8.0
6031;Universalstreuer, um 21 m3;0.8 Fu/h;31.0;0.0;8.0
6040;Mistkräne (Hydrauliklader);;0.0;0.0;8.0
6041;Hydrauliklader, Dreipunktanbau, Zapfwellenantrieb;13 m³/h;25.0;0.0;20.0
6042;Hydrauliklader, Elektromotor, 5.5 kW (7.5 PS);13 m³/h;51.0;0.0;20.0
6043;Hydrauliklader mit Zapfwellenantrieb;13 m³/h;50.0;0.0;20.0
6050;Vakuumfässer;;0.0;0.0;1.0
6051;Aufbau-Vakuumfass zu Transporter, 3000 l;6 m³/h;18.0;0.0;1.0
6053;Vakuumfass, 4000 l;18 m³/h;41.0;0.0;20.0
6054;Vakuumfass, 5000 l;20 m³/h;40.0;0.0;20.0
6055;Vakuumfass, 6000 l;22 m³/h;39.0;0.0;20.0
6056;Vakuumfass, 8000 l;26 m³/h;46.0;0.0;1.0
6057;Vakuumfass, 10 000 l;29 m³/h;44.0;0.0;1.0
6058;Vakuumfass, 12 000 l;31 m³/h;43.0;0.0;1.0
6070;Pumpfässer;;0.0;0.0;150.0
6069;Aufbau-Pumpfass zu Transporter,  2600 l;6 m³/h;25.0;0.0;250.0
6071;Aufbau-Pumpfass zu Transporter,  3000 l;12 m³/h;39.0;0.0;300.0
6072;Aufbau-Pumpfass zu Transporter,  3500 l;15 m³/h;44.0;0.0;400.0
6073;Pumpfass, 4000 l;18 m³/h;52.0;0.0;500.0
6074;Pumpfass, 5000 l;20 m³/h;47.0;0.0;600.0
6075;Pumpfass, 6000 l;22 m³/h;51.0;0.0;100.0
6076;Pumpfass, 8000 l;26 m³/h;53.0;0.0;1.0
6077;Pumpfass, 10 000 l;29 m³/h;57.0;0.0;1.0
6078;Pumpfass, 12 000 l;31 m³/h;61.0;0.0;1.0
6079;Pumpfass, 15 000 l;35 m³/h;84.0;0.0;100.0
6080;Fässer mit Schleppschuhverteiler;;0.0;0.0;100.0
6081;9 m Schleppschuhverteiler + 5000 l Fass;20 m³/h;57.0;0.0;200.0
6082;12 m Schleppschuhverteiler + 6000 l Fass;22 m³/h;79.0;0.0;250.0
6083;12 m Schleppschuhverteiler + 8000 l Fass;26 m³/h;92.0;0.0;300.0
6084;12 m Schleppschuhverteiler + 10 000 l Fass;29 m³/h;85.0;0.0;400.0
6085;15 m Schleppschuhverteiler + 12 000 l Fass;31 m³/h;93.0;0.0;500.0
6086;15 m Schleppschuhverteiler + 15 000 l Fass;35 m³/h;100.0;0.0;600.0
6090;Fässer mit Schleppschlauchverteiler;;0.0;0.0;1.0
6096;5 m Schleppschlauchverteiler + 3000 l Fass auf Transporter;15 m³/h;49.0;0.0;250.0
6091;9 m Schleppschlauchverteiler + 5000 l Fass;20 m³/h;48.0;0.0;300.0
6092;12 m Schleppschlauchverteiler + 6000 l Fass;22 m³/h;57.0;0.0;400.0
6093;12 m Schleppschlauchverteiler + 8000 l Fass;26 m³/h;67.0;0.0;500.0
6094;12 m Schleppschlauchverteiler + 10 000 l Fass;29 m³/h;61.0;0.0;600.0
6095;12 m Schleppschlauchverteiler + 12 000 l Fass;31 m³/h;61.0;0.0;1.0
6097;15m Schleppschlauchverteiler + 15 000 l Fass;35 m³/h;82.0;0.0;1.0
6100;Güllepumpen, Güllemixer und Separatoren;;0.0;0.0;20.0
6103;Tauchpumpe fahrbar, Elektromotor, 9 kW (12 PS);20 m³/h;33.0;0.0;10.0
6105;Einkolbenpumpe, doppelwirkend, Elektromotor + Agropilot;20 m³/h;35.0;0.0;10.0
6107;Zweikolbenpumpe, doppelwirkend, Elektromotor + Agropilot;50 m³/h;58.0;0.0;10.0
6109;Drehkolbenpumpe, Zapfwellenantrieb;60 m³/h;22.0;0.0;10.0
6117;Drehkolbenpumpe, Elektromotor, 15 kW, 61 m3/h;60 m³/h;33.0;0.0;20.0
6110;Schneckenpumpe, Elektromotor, 15 kW (20 PS), Funkfernsteuerung;60 m³/h;49.0;0.0;20.0
6111;Schneckenpumpe, Zapfwellenantrieb, zweistufig;60 m³/h;45.0;0.0;10.0
6113;Güllenmixer, Elektromotor, 3−5 m, 9 kW (12 PS); ;11.0;0.0;20.0
6114;Güllenmixer, Zapfwellenantrieb, 4−6 m; ;11.0;0.0;20.0
6115;Schiffschraubenrührwerk, Elektromotor, 7.5 kW (10 PS); ;22.0;0.0;20.0
6116;Separator, Elektromotor, 9 kW (12 PS);20 m³/h;10.5;0.0;20.0
6130;Geräte für Gülleverschlauchung;;0.0;0.0;1.0
6131;Güllewerfer, Dreipunktanbau, Handbedienung;60 m³/h;18.0;0.0;800.0
6132;Gülleverteiler, Dreipunktanbau, mechanisch automatisch;60 m³/h;23.0;0.0;800.0
6133;Gülleverteiler, Dreipunktanbau, elektronisch automatisch;60 m³/h;33.0;0.0;800.0
6137;Schleppschlauchverteiler, Dreipunktanbau, 7 m;60 m³/h;61.0;0.0;600.0
6134;Schleppschlauchverteiler, Dreipunktanbau, 9 m;60 m³/h;69.0;0.0;600.0
6135;Schleppschlauchverteiler, Dreipunktanbau, 12 m;60 m³/h;80.0;0.0;600.0
6136;Schleppschlauchverteiler, Dreipunktanbau, 15 m;60 m³/h;78.0;0.0;1.0
6138;Schleppschuhverteiler, Dreipunktanbau, 7 m;60 m³/h;86.0;0.0;1.0
6139;Schleppschuhverteiler, Dreipunktanbau, 9 m;60 m³/h;85.0;0.0;1.0
6140;Schleppschuhverteiler, Dreipunktanbau, 12 m ;60 m³/h;120.0;0.0;800.0
6141;Schleppschuhverteiler, Dreipunktanbau, 15 m;60 m³/h;135.0;0.0;600.0
6150;Rohre und Schläuche;;0.0;0.0;600.0
6151;PVC-Schlauch, 100 m, ø 75 mm;25 m³/h;5.0;0.0;30.0
6152;PVC-Schlauch auf Dreipunkthaspel, 300 m, ø 75 mm;60 m³/h;45.0;0.0;20.0
6153;PVC-Schlauch auf Dreipunkthaspel, 600 m, ø 75 mm;60 m³/h;65.0;0.0;30.0
6154;PVC-Schlauch auf Dreipunkthaspel, 300 m, ø 90 mm ;90 m³/h;54.0;0.0;20.0
6155;PVC-Schlauch auf Dreipunkthaspel, 600 m, ø 90 mm ;90 m³/h;77.0;0.0;1.0
6156;PE-Rohr, 100 m, ø 75 mm; ;2.6;0.0;1.0
6159;PE-Rohr, 100 m, ø 90 mm; ;3.6;0.0;1.0
6160;Güllenröhren, 100 m, ø 70 mm; ;6.4;0.0;25.0
6170;Beregnung;;0.0;0.0;20.0
6171;Beregnungspumpe zu Traktor, 100 m Rohr;50 m³/h;4.1;0.0;20.0
6177;Beregnungspumpe, elektrisch 22−30 kW (30−40 PS);58 m³/h;5.5;0.0;20.0
6172;Beregnungsanlage, 37 Regner, 600 m Rohr; ;8.0;0.0;1.0
6173;Beregnungsmaschine klein, 170 m Schlauch ; ;6.9;0.0;1.0
6174;Beregnungsmaschine mittel, 350 m Schlauch; ;13.0;0.0;1.0
6175;Beregnungsmaschine gross, 450 m Schlauch; ;15.0;0.0;10.0
6180;Kompostierung;;0.0;0.0;8.0
6181;Abfallschredder, Zapfwellenantrieb;;65.0;0.0;1.0
6182;Abfallschredder mit Aufbaumotor, Diesel, 30 kW (41 PS);30 kW;83.0;9.88;1.0
6183;Kompostwendemaschine, Zapfwellenantrieb;250 m/h;43.0;0.0;1.0
7000;Mähdrescher (ohne Schneidwerk);;0.0;0.0;4.0
7002;Mähdrescher (170 PS, 125 kW) bei 4.2−4.8 m;133 a/h;330.0;41.18;1.33
7003;Mähdrescher (204 PS, 150 kW) bei 4.8−5.2 m;143 a/h;380.0;49.41;1.43
7004;Mähdrescher (238 PS, 175 kW) bei 5.2−6 m ;162 a/h;450.0;67.25;1.62
7005;Mähdrescher (299 PS, 220 kW) bei 5.2−6 m;175 a/h;490.0;84.55;1.75
7006;Mähdrescher (350 PS, 257 kW) bei 6−7 m;189 a/h;530.0;98.77;1.89
7007;Mähdrescher (400 PS, 294 kW) bei 7−8 m;200 a/h;560.0;112.98;2.0
7008;Mähdrescher (470 PS, 345 kW) bei 8−9 m;220 a/h;580.0;132.58;2.2
7009;Mähdrescher (550 PS, 404 kW) bei 9−10 m;260 a/h;690.0;155.26;2.6
7020;Schneidwerke mit Wagen;;0.0;0.0;5.0
7021;Schneidwerk, 3.9−4.2 m (mit Wagen);120 a/h;67.0;0.0;1.2
7022;Schneidwerk, 4.2−4.8 m (mit Wagen);133 a/h;72.0;0.0;1.33
7023;Schneidwerk, 4.8−5.2 m (mit Wagen);143 a/h;84.0;0.0;1.43
7024;Schneidwerk, 5.2−6 m (mit Wagen);168 a/h;105.0;0.0;1.68
7025;Schneidwerk, 6−7 m (mit Wagen);189 a/h;115.0;0.0;1.89
7026;Schneidwerk, 7−8 m (mit Wagen);200 a/h;125.0;0.0;2.0
7027;Schneidwerk, 8−9 m (mit Wagen);230 a/h;130.0;0.0;2.3
7028;Schneidwerk, 9−10 m (mit Wagen);260 a/h;155.0;0.0;2.6
7040;Übrige Anbaugeräte für Mähdrescher;;0.0;0.0;15.0
7046;Pflückvorsatz, 6-reihig, mit Unterbauhäcksler;120 a/h;175.0;0.0;1.2
7047;Pflückvorsatz, 8-reihig, mit Unterbauhäcksler;140 a/h;210.0;0.0;1.4
7050;Rapsschneidvorsatz, 5.40 m;140 a/h;110.0;0.0;1.4
7051;Sonnenblumen-Schneidwerk, mit Unterbauhäcksler, 5.40 m;140 a/h;340.0;0.0;1.4
7060;Strohbearbeitung, Schroter und Umladewagen;;0.0;0.0;20.0
7063;Strohverteiler zu Mähdrescher;;0.0;0.0;10.0
7064;Überladewagen, 20−25 m3;;0.0;0.0;1.0
8000;Krautschläger und Abflammgeräte;;0.0;0.0;1.0
8001;Kartoffelkrautschläger, 1.8 m, 2-reihig;60 a/h;74.0;0.0;0.6
8002;Kartoffelkrautschläger, 3 m, 4-reihig;120 a/h;140.0;0.0;1.2
8003;Abflammgerät für Kartoffeln, 3 m, 4-reihig;40 a/h;240.0;0.0;0.4
8010;Kartoffelroder und -vollernter;;0.0;0.0;1.0
8013;Kartoffelvollernter, gross, Rollbodenbunker, 1-reihig;10 a/h;150.0;0.0;0.1
8014;Kartoffelvollernter mit Vorsortierung, Rollböden und Zusatzbunker, 1-reihig;10 a/h;165.0;0.0;0.1
8016;Kartoffelvollernter mit Überladeband, 2-reihig, Bunker 7 t;20 a/h;260.0;0.0;0.2
8015;Kartoffelvollernter mit Überladeband, 2-reihig, Bunker 9 t;30 a/h;450.0;0.0;0.3
8060;Rübenernte;;0.0;0.0;1.0
8063;Zuckerrübenvollernter, gezogen, 2-reihig, ;25 a/h;110.0;0.0;0.25
8067;Zuckerrübenvollernter, selbstfahrend, 6-reihig, 24 m3, Diesel, 480 kW (652 PS);100 a/h;560.0;0.0;1.0
8080;Rübenreinigungsgeräte;;0.0;0.0;30.0
8082;Zuckerrüben-Ladegerät, selbstfahrend, Diesel, 260 kW (354 PS);130 t/h;320.0;49.96;50.0
9000;Mähwerke und Bandrechen zu Zweiachsmäher;;0.0;0.0;4.0
9001;Doppelmessermähwerk, 2.1−2.4 m;137 a/h;94.0;0.0;1.37
9002;Rotationsmähwerk, Front, 2.2 m;137 a/h;41.0;0.0;1.37
9003;Bandrechen, 2.8−3.1 m;130 a/h;29.0;0.0;1.3
9010;Mähwerke und Aufbereiter zu Traktoren;;0.0;0.0;1.0
9011;Doppelmessermähwerk, Heck, 1.7−2.1 m, hydraulisch klappbar;137 a/h;59.0;0.0;1.37
9012;Doppelmessermähwerk, Front, 2.5 m;180 a/h;59.0;0.0;1.8
9015;Rotationsmähwerk, Front, 2.5−3.0 m;200 a/h;64.0;0.0;2.0
9016;Rotationsmähwerk mit Aufbereiter, Front, 2.5−3.0 m;200 a/h;105.0;0.0;2.0
9017;Rotationsmähwerk mit Aufbereiter, Front, 3.5 m;300 a/h;160.0;0.0;3.0
9019;Rotationsmähwerk mit Aufbereiter, gezogen, Heck, 2.5−3.1 m;201 a/h;125.0;0.0;2.01
9020;Rotationsmähwerk, Heck, 1.6−2.0 m;130 a/h;33.0;0.0;1.3
9021;Rotationsmähwerk, Heck, 2.1−2.6 m ;172 a/h;47.0;0.0;1.72
9022;Rotationsmähwerk mit Aufbereiter, Heck, 2.1−2.6 m;172 a/h;84.0;0.0;1.72
9023;Rotationsmähwerk mit Aufbereiter, Heck, 2.8−3.2 m;250 a/h;155.0;0.0;2.5
9024;Rotationsmähwerk mit Aufbereiter, Heck, 3.2−4.0 m;300 a/h;195.0;0.0;3.0
9025;Mähkombination, 1 x Front / 1 x Heck, 5−6 m;400 a/h;150.0;0.0;4.0
9026;Mähkombination mit Aufbereiter, 1 x Front / 1 x Heck, 5−6m;400 a/h;190.0;0.0;4.0
9027;Mähkombination 1 x Front / 2 x Heck, 8−10 m;600 a/h;220.0;0.0;6.0
9028;Mähkombination mit Aufbereiter, 1 x Front / 2 x Heck, 8−10 m;600 a/h;300.0;0.0;6.0
9029;Mähkombination mit Aufbereiter, Schwadzusammenführung, 1 x Front / 2 x Heck, 8−10 m;650 a/h;630.0;0.0;6.5
9030;Aufbereiter, 2 m, Dreipunktanbau;120 a/h;26.0;0.0;1.2
9031;Aufbereiter intensiv, Dreipunktanbau, 1.8 m;120 a/h;34.0;0.0;1.2
9040;Zetten und Wenden;;0.0;0.0;2.0
9041;Kreiselheuer, 3.5−4.5 m;280 a/h;42.0;0.0;2.8
9042;Kreiselheuer, 4.6−6 m;376 a/h;51.0;0.0;3.76
9043;Kreiselheuer, 6.1−7.5 m;469 a/h;74.0;0.0;4.69
9044;Kreiselheuer, 7.5−9 m;535 a/h;87.0;0.0;5.35
9045;Kreiselheuer, 9−13 m;674 a/h;130.0;0.0;6.74
9046;Schwadwender, 2.5 m;100 a/h;23.0;0.0;1.0
9060;Schwaden;;0.0;0.0;20.0
9061;Kreiselschwader, 2.8−3.3 m;139 a/h;21.0;0.0;1.39
9062;Kreiselschwader, 3.4−4.5 m;183 a/h;30.0;0.0;1.83
9063;Doppel-Kreiselschwader, Mittelablage, 5.5−6.5 m;272 a/h;58.0;0.0;2.72
9064;Doppel-Kreiselschwader, Mittelablage, > 6.5 m;287 a/h;72.0;0.0;2.87
9065;Doppel−Kreiselschwader, Seitenablage, 5.5−6.5 m;272 a/h;69.0;0.0;2.72
9066;Sternradrechen,  6.5−7.5 m;250 a/h;36.0;0.0;2.5
9068;Pick-up−Bandschwader, Front/Heck, 3−4 m;300 a/h;31.0;0.0;3.0
9069;Pick-up−Bandschwader, Heck, 6−7.5 m;470 a/h;140.0;0.0;4.7
9067;Pick-up−Bandschwader, Heck, 8−10 m;550 a/h;180.0;0.0;5.5
9080;Ladewagen;;0.0;0.0;50.0
9081;Aufbau-Ladegerät zu Transporter, 9,5 m3 DIN;3.3 Fu/h;69.0;0.0;30.0
9082;Aufbau-Ladegerät zu Transporter, 13 m3 DIN;3.0 Fu/h;105.0;0.0;1.0
9083;Ladewagen mit Schneidvorrichtung, 15 m3 DIN;2.7 Fu/h;74.0;0.0;1.0
9084;Ladewagen mit Schneidvorrichtung, 20 m3 DIN;2.5 Fu/h;66.0;0.0;1.0
9085;Ladewagen mit Schneidvorrichtung, 25 m3 DIN;2.0 Fu/h;70.0;0.0;20.0
9086;Rotor-Ladewagen, 30 m3 DIN;1.5 Fu/h;71.0;0.0;20.0
9087;Rotor-Ladewagen, 35 m3 DIN;1.2 Fu/h;79.0;0.0;40.0
9088;Rotor-Ladewagen, 40 m3 DIN;1.0 Fu/h;76.0;0.0;40.0
9090;Dosierentladung zu Ladewagen;2 Fu/h;16.0;0.0;40.0
9091;Querförderband zu Ladewagen;2 Fu/h;14.0;0.0;80.0
9100;Häckselwagen, Abschiebewagen ;;0.0;0.0;1.0
9101;Häckselwagen mit Dosiereinrichtung, 25 m3 DIN;2.5 Fu/h;87.0;0.0;30.0
9102;Häckselwagen mit Dosiereinrichtung, 35 m3 DIN;1.8 Fu/h;69.0;0.0;20.0
9103;Häckselwagen mit Dosiereinrichtung, 45 m3 DIN;1.3 Fu/h;65.0;0.0;30.0
9105;Abschiebewagen, 25 m3 DIN;2.5 Fu/h;58.0;0.0;20.0
9106;Abschiebewagen, 35 m3 DIN;1.8 Fu/h;59.0;0.0;15.0
9107;Abschiebewagen, 45 m3 DIN;1.3 Fu/h;67.0;0.0;10.0
9120;Pressen und Ballenerntegeräte;;0.0;0.0;10.0
9121;Siloschlauchpresse mit Folie, ø 2.4 m;120 m³/h;750.0;0.0;15.0
9122;Hochdruckpresse (Kleinballen);220 Ba/h;150.0;0.0;10.0
9123;Rundballenpresse klein, Schnurbindung, ø 0.5 m, 0.14 m3;50 Rb/h;57.0;0.0;20.0
9124;Rundballenpresse Festkammer, 1.4 m3 (Heu/Stroh);25 Rb/h;125.0;0.0;1.0
9125;Rundballenpresse Festk., Zusatzmesser, 1.4 m3 (Silo);25 Rb/h;145.0;0.0;1.0
9126;Rundballenpresse Vario, 2.1 m3 (Heu/Stroh);20 Rb/h;145.0;0.0;1.0
9127;Rundballenpresse Vario, Zusatzmesser, 2.1 m3 (Silo);20 Rb/h;150.0;0.0;20.0
9128;Quaderballenpresse mittel, 1.4 m3;60 Qb/h;470.0;0.0;20.0
9129;Quaderballenpresse gross, 2 m3;40 Qb/h;450.0;0.0;20.0
9142;Quaderballenpresse gross, mit Vorbauhäcksler, 2 m3 ;35 Qb/h;430.0;0.0;20.0
9130;Rundballenpresse mit Wickelgerät, ø 1.2 m, 1.4 m3;20 Rb/h;290.0;0.0;20.0
9144;Rundballenpresse Vario mit Wickelgerät, 2.1 m3 (Silo);18 Rb/h;300.0;0.0;20.0
9131;Folienwickelgerät für kleine Rundballen, ø 0.5 m, 0.14 m3;45 Rb/h;90.0;0.0;20.0
9132;Folienwickelgerät für mittlere Rundballen, Dreipunktanbau, ø 1.2 m, 1.4 m3;22 Rb/h;145.0;0.0;1.0
9133;Folienwickelgerät für grosse Rundballen, gezogen, ø 1.5 m, 2.1 m3;22 Rb/h;180.0;0.0;1.0
9134;Folienwickelgerät für Quaderballen, 1.2 m3;30 Qb/h;280.0;0.0;1.0
9135;Press-Wickelkombination für Silomaisballen;30 Rb/h;470.0;0.0;400.0
9136;Ballenwagen zu Hochdruckpresse, 30−50 Ba;100 Ba/h;20.0;0.0;500.0
9140;Rundballen-Ladewagen (8 Ballen);16 Ba/h;0.0;0.0;500.0
9139;Grossballen-Transportwagen, 10 t;1 Fu/h;0.0;0.0;50.0
9180;Feldhäcksler Mais/Gras (angebaut oder gezogen);;0.0;0.0;50.0
9181;Anbaumaishäcksler, 1-reihig;32 a/h;100.0;0.0;0.32
9182;Anbaumaishäcksler, schwenkbar, 2-reihig;62 a/h;100.0;0.0;0.62
9185;Maishäcksler, 4-reihig, Front- oder Heckanbau;100 a/h;170.0;0.0;1.0
9200;Feldhäcksler, selbstfahrend (Grundgerät);;0.0;0.0;100.0
9201;Selbstfahrender Häcksler, 280 kW (380 PS);;430.0;107.6;100.0
